"","factor_list","n","cv","co-efficients","p-values","RMSE","RSS","adjR","model_p_sign"
"514","Q3 Q4 xYield_GS10 xYield_NYXRSA xYield_TB3MS","6","cv 4","0.0153311939801063, -0.0186227159919251, -0.0173364442351737, 0.0156516999077165, 0.505072174044076, 0.00344429419043506","1.08545055152268e-09, 9.71604120806273e-07, 2.01312907903364e-05, 0.232800131740834, 5.03882982429943e-08, 0.320059464669033","0.01004280071787","0.00729528622007981","0.53977159443792","5.42085682849234e-09"
"515","Q3 Q4 xYield_GS10 xYield_NYXRSA xYield_TB3MS","6","cv 5","0.0132061667713415, -0.0169033523676815, -0.0179846320478484, 0.0139040043827501, 0.54019796270665, 0.0104177313720088","2.35331639076143e-09, 3.08929242962247e-06, 1.28887903347104e-06, 0.360344040374919, 4.34830974023662e-10, 3.76465346506791e-05","0.0094449380245126","0.00649468711015736","0.678941319808947","5.14923770118945e-13"
"516","Q3 Q4 xYield_GS10 xYield_NYXRSA xYield_TB3MS","6","cv 6","0.0121667015340101, -0.0178202180617487, -0.0167196230488213, 0.00520775672172625, 0.646538327144449, 0.0111693057266425","5.81619459711151e-07, 1.14580417781607e-06, 1.89329836619072e-05, 0.712988662424455, 4.21167169580363e-11, 1.62590033364594e-05","0.00977311281677849","0.00691892684691095","0.744323796708966","1.3846170947956e-15"
"517","Q3 Q4 xYield_GS10 xYield_NYXRSA xYield_TB3MS","6","cv 7","0.0100785032477163, -0.0140426035685428, -0.0189276488411975, 0.013200322796507, 0.706794395630741, 0.0105455415399321","2.28533438106809e-06, 2.83900430884353e-05, 7.11304360871163e-07, 0.35067429355764, 8.23301808708683e-13, 2.61129136265523e-06","0.00939176629304652","0.00688050836607717","0.751019497806265","6.93194189375206e-16"
"518","Q3 Q4 xYield_GS10 xYield_NYXRSA xYield_TB3MS","6","cv 8","0.0121617425715612, -0.0186002470744484, -0.01513414840113, 0.0179162895734767, 0.566118153461715, 0.00971233517883167","5.69546526733449e-09, 2.5561445650279e-07, 4.89556960807775e-05, 0.183298005243554, 8.64597544667005e-09, 4.49387909466057e-05","0.00911974434065021","0.00669477136342713","0.595399959369986","2.00902224457877e-10"
"519","Q3 Q4 xYield_GS10 xYield_NYXRSA xYield_TB3MS","6","cv 9","0.0116506425250528, -0.0145702777221223, -0.0170166243586, 0.0233973919701357, 0.667420121801114, 0.0113913248517104","1.368669181689e-06, 0.000105815011990262, 6.10931427776928e-06, 0.0721031396565415, 4.28048126893691e-09, 8.8361188825925e-06","0.0100393248662173","0.00740551617367846","0.691249763548921","1.86902766105694e-13"
"520","Q3 Q4 xYield_GS10 xYield_NYXRSA xYield_TB3MS","6","cv 10","0.0123567722994802, -0.0184953400554878, -0.0127800993686259, 0.0397766907711638, 0.56173967893635, 0.01049344051688","2.18707397417165e-07, 1.4150316466243e-06, 0.000782156277287539, 0.00435880092354755, 1.48631503549521e-09, 6.27473000308203e-05","0.0100423847539017","0.00728794335878278","0.677062432154232","5.98955049811192e-13"
"521","Q3 Q4 xYield_NYXRSA xYield_TB3MS xYield_UMCSENT","6","cv 1","0.00963096624124457, -0.0116778718686285, -0.0112714631727572, 0.627355946247937, 0.00137335048000398, 0.0329344298172099","8.79058398678368e-09, 3.68141724440111e-05, 1.18885749307217e-05, 4.55492654658446e-15, 0.609912814165315, 0.0618231267507362","0.00700790943463372","0.00362889013331129","0.741740059117713","1.79942257559838e-15"
"522","Q3 Q4 xYield_NYXRSA xYield_TB3MS xYield_UMCSENT","6","cv 2","0.011688223450301, -0.0169824836576892, -0.0166130673412661, 0.615101228382764, 0.00772146786165226, 0.0383396151270032","6.47338133189955e-06, 1.66828124976806e-05, 4.68096881375742e-05, 4.04685741128282e-09, 0.125867606464452, 0.112491135288645","0.0107364236498058","0.00849860499408048","0.63838299688757","1.1158161840746e-11"
"523","Q3 Q4 xYield_NYXRSA xYield_TB3MS xYield_UMCSENT","6","cv 3","0.0135036624814186, -0.0161063469523727, -0.015890485364145, 0.531740464141307, 0.00761993858271299, 0.0421547412482233","8.45518837239848e-08, 5.01186776903621e-05, 2.15952280486696e-05, 1.20182110059726e-08, 0.00335437182139992, 0.0982743348051743","0.0100231366014418","0.00750075189154703","0.626491411205178","2.56970140091184e-11"
"524","Q3 Q4 xYield_NYXRSA xYield_TB3MS xYield_UMCSENT","6","cv 4","0.0133540142578518, -0.0173282447354451, -0.0136244946537737, 0.525468688516398, 0.00926230591847037, 0.0474938968500066","1.33437816878741e-10, 5.99715276371965e-06, 3.05027129539861e-05, 1.9700908124827e-10, 0.00013098916025224, 0.0215171220004764","0.00885059500689365","0.00570262359935309","0.701120968866528","8.04229222004293e-14"
"525","Q3 Q4 xYield_NYXRSA xYield_TB3MS xYield_UMCSENT","6","cv 5","0.0118576054684864, -0.0151084372344032, -0.0175352335039324, 0.607521957870917, 0.0098628070147157, 0.0671986539637985","4.73194354125092e-11, 1.23112393319764e-07, 1.22801150655254e-09, 3.13326742559972e-14, 0.00719566424074808, 8.29291715989767e-05","0.00701782217716942","0.00374560040842362","0.807214992208487","8.64846543991294e-19"
"526","Q3 Q4 xYield_NYXRSA xYield_TB3MS xYield_UMCSENT","6","cv 6","0.0114430464173433, -0.0202719197014203, -0.0167748601564892, 0.690796215199759, 0.00810342595923932, 0.0485841565857145","5.82459096305777e-07, 4.92501199744676e-07, 6.87244787808167e-07, 9.86936571989509e-12, 0.0425053403460813, 0.0228170964070728","0.0093978957964318","0.00788904093716664","0.708856398438491","4.06991539908465e-14"
