,mindex,n,predictors,rsquare,adjr,adjrRound,predrsq,cp,cpd,aic,sbic,sbc,msep,fpe,apc,hsp
14114,172,3,xYield_CASTHPI xYield_NYXRSA xYield_TB3MS,0.553234193,0.537278272,0.54,0.486523719,243.622389,241,-505.6275422,-762.2455448,-493.2408581,0.000183379,0.000182948,0.489314931,2.11E-06
13903,173,3,Q4 xYield_GS10 xYield_SDXRSA,0.552733931,0.536760143,0.54,0.494345305,243.9847627,241,-505.52906,-762.1503817,-493.1423759,0.000183584,0.000183153,0.489862838,2.11E-06
14096,174,3,xYield_NYXRSA xYield_POPTHM xYield_UMCSENT,0.552682589,0.536706967,0.54,0.48674202,244.0219533,241,-505.518959,-762.1406209,-493.1322749,0.000183606,0.000183174,0.48991907,2.11E-06
13834,175,3,Q4 xYield_SDXRSA xYield_UMCSENT,0.552396374,0.536410531,0.54,0.498919751,244.2292774,241,-505.4626705,-762.0862278,-493.0759865,0.000183723,0.000183291,0.490232542,2.11E-06
14149,917,4,xYield_CASTHPI xYield_GS10 xYield_TB3MS xYield_UMCSENT,0.554698345,0.533238024,0.53,0.450301854,244.5618062,241,-503.9164114,-761.9790273,-489.0523906,0.000187236,0.000186551,0.498952457,2.15E-06
14013,918,4,xYield_GS10 xYield_MSPNHSUS xYield_NYXRSA xYield_POPTHM,0.554655784,0.533193412,0.53,0.471682057,244.5926358,241,-503.908001,-761.9709535,-489.0439802,0.000187254,0.000186569,0.499000146,2.15E-06
13857,919,4,Q4 xYield_CASTHPI xYield_TB3MS xYield_USSLIND,0.554564951,0.533098202,0.53,0.214346148,244.6584323,241,-503.8900543,-761.9537248,-489.0260334,0.000187292,0.000186607,0.499101923,2.15E-06
13522,920,4,Q3 xYield_CPALTT01USQ657N xYield_GS10 xYield_NYXRSA,0.554551703,0.533084316,0.53,0.467398492,244.6680282,241,-503.8874372,-761.9512124,-489.0234163,0.000187298,0.000186613,0.499116766,2.15E-06
13835,921,4,xYield_MSPNHSUS xYield_POPTHM xYield_SDXRSA xYield_TB3MS,0.554454186,0.532982099,0.53,0.494442246,244.7386667,241,-503.8681743,-761.9327201,-489.0041534,0.000187339,0.000186654,0.499226033,2.15E-06
13627,922,4,xYield_CASTHPI xYield_MVLOAS xYield_NYXRSA xYield_UMCSENT,0.554092797,0.532603294,0.53,0.475495249,245.0004447,241,-503.7968252,-761.8642238,-488.9328043,0.000187491,0.000186805,0.499630962,2.16E-06
14160,923,4,xYield_CASTHPI xYield_SDXRSA xYield_TB3MS xYield_UMCSENT,0.55378933,0.532285201,0.53,0.472142911,245.2202666,241,-503.7369561,-761.8067469,-488.8729352,0.000187618,0.000186932,0.499970992,2.16E-06
13709,2843,5,Q4 xYield_CASTHPI xYield_GS10 xYield_MVLOAS xYield_USSLIND,0.556131544,0.529066395,0.53,0.323550263,245.5236437,241,-502.2000955,-761.7039481,-484.8587378,0.000191242,0.000190242,0.508824815,2.20E-06
13854,2844,5,xYield_MVLOAS xYield_NYXRSA xYield_POPTHM xYield_SDXRSA xYield_USSLIND,0.555959329,0.528883679,0.53,0.404645277,245.6483907,241,-502.1659593,-761.671394,-484.8246016,0.000191316,0.000190316,0.509022232,2.20E-06
