,test2_z.date,scaled.BL_yFYield_CSUSHPINSA,scaled.yFYield_CSUSHPINSA,scaled.xYield_CASTHPI,scaled.xYield_TB3MS,scaled.xYield_MSPNHSUS,scaled.xYield_MVLOAS,scaled.Q1,scaled.Q2,scaled.BL_yFYield_CSUSHPINSA,scaled.yFYield_CSUSHPINSA,scaled.xYield_CASTHPI,scaled.xYield_TB3MS,scaled.xYield_MSPNHSUS,scaled.xYield_MVLOAS,scaled.Q1,scaled.Q2,unscaled.BL_yFYield_CSUSHPINSA,unscaled.yFYield_CSUSHPINSA,unscaled.xYield_CASTHPI,unscaled.xYield_TB3MS,unscaled.xYield_MSPNHSUS,unscaled.xYield_MVLOAS,unscaled.Q1,unscaled.Q2,scaled.yFYield_CSUSHPINSA,distance
25,3/31/1995,0.568402426,-0.018491265,-0.641596514,0.059604249,-0.630585687,-0.061592793,1.705425043,-0.581394901,0.715119128,0.492623473,0.260567598,0.523764583,0.26415573,0.475443558,0.955942409,0.280487167,1,0.008524259,-0.006416314,0.0864899,-0.010077853,0.010690555,1,0,0.492623473,-0.039939826
26,6/30/1995,0.568402426,0.11959371,-0.064820052,-0.161715726,0.460742887,0.829573874,-0.581394901,1.705425043,0.715119128,0.547597499,0.474158638,0.43576486,0.677508459,0.796610123,0.280487167,0.955942409,1,0.011041151,0.009261113,-0.024404416,0.022143033,0.027687218,0,1,0.547597499,0.103411943
27,9/30/1995,0.568402426,-0.469127003,0.012345664,-0.195028134,-0.769974188,1.414353756,-0.581394901,-0.581394901,0.715119128,0.319489429,0.504925082,0.422685461,0.220657602,0.92137097,0.280487167,0.280487167,1,3.10E-04,0.011358564,-0.04109589,-0.014193224,0.038840358,0,0,0.319489429,-0.061564425
28,12/31/1995,-1.744407445,-0.570157225,-0.456059899,-0.152677586,0.985467766,0.964277539,-0.581394901,-0.581394901,0.040544034,0.284285533,0.324173453,0.439326269,0.837802821,0.832546601,0.280487167,0.280487167,0,-0.001531025,-0.001373222,-0.019875777,0.037635252,0.030256337,0,0,0.284285533,-0.000862754
29,3/31/1996,0.568402426,0.25078229,-0.403731905,-0.238220177,-0.495361914,-0.18074522,1.705425043,-0.581394901,0.715119128,0.599008783,0.343204938,0.405855164,0.310172337,0.428283781,0.955942409,0.280487167,1,0.013432341,4.91E-05,-0.062737643,-0.006085445,0.008418036,1,0,0.599008783,-0.046009034
30,6/30/1996,0.568402426,0.179254579,-0.877092753,-0.076576025,0.390970023,1.260283305,-0.581394901,1.705425043,0.715119128,0.571131095,0.19021813,0.469480416,0.652090303,0.89621641,0.280487167,0.955942409,1,0.012128597,-0.012817365,0.018255578,0.020083027,0.035901869,0,1,0.571131095,0.074072473
31,9/30/1996,-1.744407445,-0.506939766,-0.473255319,-0.082530083,0.0116577,0.870059238,-0.581394901,-0.581394901,0.040544034,0.306098541,0.318015518,0.467112599,0.504650644,0.807865984,0.280487167,0.280487167,0,-3.79E-04,-0.001840613,0.015272245,0.008884036,0.02845937,0,0,0.306098541,-0.05689682
32,12/31/1996,0.568402426,-0.40849105,-0.214849162,-0.160000128,0.678013229,-0.179474961,-0.581394901,-0.581394901,0.715119128,0.3414566,0.414942461,0.436440487,0.751118347,0.428782388,0.280487167,0.280487167,1,0.001415685,0.005183155,-0.023544801,0.028557823,0.008442263,0,0,0.3414566,-0.067956997
33,3/31/1997,0.568402426,0.29295281,-0.217656538,-0.07959118,0.008532336,-1.371699948,1.705425043,-0.581394901,0.715119128,0.615220889,0.413848365,0.468281205,0.503403868,0.085078432,0.955942409,0.280487167,1,0.014200988,0.005106847,0.016744808,0.008791761,-0.014296297,1,0,0.615220889,-0.048826426
34,6/30/1997,0.568402426,0.315003412,-0.038942906,-0.118268985,-0.28924656,0.955512392,-0.581394901,1.705425043,0.715119128,0.623620468,0.484467954,0.452927266,0.386196352,0.830340679,0.280487167,0.955942409,1,0.014602907,0.009964483,-0.002635045,0,0.030089165,0,1,0.623620468,0.065060305
